,msa-8,msa-10,msa-12,msa-14,msa-16,msa-20,msa-30,msa-32,msa-36,msa-38,msa-39
xp2,"[62, 89, 101, 113, 152, 166, 50, 71, 95, 110, 128, 158, 170]","[62, 101, 152, 166, -1, 36, 50, 71, 128, 158, 170]","[62, 89, 101, 113, 152, 166, 40, 50, 71, 95, 110, 128, 158, 170]","[101, 113, 50, 110, 128]","[62, 89, 101, 113, 152, 40, 50, 50, 71, 95, 110, 128, 158]","[62, 50, 128]","[62, 89, 101, 113, -1, 49, 50, 71, 95, 110, 128]","[62, 89, -1, 3, 50, 71, 128]","[62, 89, 101, 113, 166, -1, 35, 50, 56, 71, 95, 110, 128, 170]","[62, 89, 101, 113, 152, 166, -1, 50, 71, 95, 110, 128, 158, 170]","[62, 89, 101, 113, -1, 39, 50, 71, 95, 110, 128, 132]"
xp1,"[62, 89, 101, 113, 152, 166, 50, 71, 95, 110, 128, 158, 170]","[48, 87, 135, 153, 13, 19, 37, 72, 120, 151, 155]","[51, 75, 90, 123, 139, 164, 25, 37, 69, 78, 117, 126, 158, 167]","[109, 124, 88, 121, 156]","[64, 94, 112, 124, 145, 32, 46, 58, 79, 103, 115, 130, 160]","[49, 23, 152]","[59, 71, 110, 128, 9, 38, 49, 62, 107, 116, 150]","[62, 80, 2, 8, 47, 68, 131]","[79, 97, 109, 127, 160, 20, 46, 64, 76, 88, 103, 124, 142, 162]","[60, 84, 96, 114, 138, 161, 17, 48, 75, 87, 102, 123, 157, 163]","[60, 72, 96, 126, 19, 33, 45, 69, 90, 120, 129, 157]"
