depth,MSA-8,MSA-10,MSA-12,MSA-14,MSA-16,MSA-20,MSA-30,MSA-32,MSA-36,MSA-38,MSA-39,MSA-40,MSA-41,MSA-42,MSA-43,MSA-46,MSA-48,MSA-49,MSA-50
44.0,,22.198,7.999,22.34875,,15.791428571428572,17.211000000000002,23.877000000000002,26.40125,16.954777777777778,18.902,3.229,24.524,33.7455,16.9,12.512,17.4777846568446,25.563499999999998,55.9225
45.0,,20.971,8.0412,22.63,,16.00657142857143,16.911,25.145000000000003,27.605,16.517222222222223,19.031000000000002,7.9082,22.5428,30.548,15.346599999999999,12.917,19.5246901695023,16.927,53.844
45.5,,19.744,8.083400000000001,20.9722,,16.221714285714288,17.0366,26.413,26.9988,16.079666666666665,19.16,12.587399999999999,20.561600000000002,26.321399999999997,13.793199999999999,13.322,21.57159568216,17.0058,54.808
46.0,,18.517,8.1256,19.3144,,16.436857142857143,17.162200000000002,27.681,26.3926,15.64211111111111,19.289,17.2666,18.5804,22.0948,12.239799999999999,13.727,23.296842004324834,17.084600000000002,55.772
46.5,,17.29,8.1678,17.656599999999997,22.653,16.652,17.2878,28.7692,25.7864,15.204555555555554,19.418,21.9458,16.5992,17.8682,10.686399999999999,14.185,25.02208832648967,17.1634,56.736000000000004
47.0,,16.063,8.21,15.9988,19.816,16.86714285714286,17.413400000000003,29.857400000000002,25.180200000000003,14.767,19.547,26.625,14.618,13.6416,9.133,14.643,26.7473346486545,17.2422,57.7
48.0,,14.397599999999999,9.9718,14.341,16.979,17.082285714285714,17.539,30.9456,24.574,14.447799999999999,18.1442,25.731,13.8162,9.415,9.5346,15.100999999999999,28.0845960379113,17.321,58.664
48.5,,12.732199999999999,11.7336,14.7738,14.142,17.297428571428572,15.432200000000002,32.0338,24.5504,14.128599999999999,16.7414,24.837,13.0144,9.040999999999999,9.9362,15.559,29.4218574271681,17.3582,59.628
49.0,,11.0668,13.4954,15.2066,11.305,17.51257142857143,13.3254,33.122,24.5268,13.8094,15.3386,23.943,12.2126,8.667,10.3378,16.017,30.160087144502732,17.395400000000002,48.2905
49.5,,9.4014,15.2572,15.639399999999998,8.468,17.727714285714285,11.218599999999999,31.785,24.5032,13.4902,13.9358,23.049,11.4108,8.293,10.7394,14.6546,30.898316861837365,17.4326,36.953
50.0,,7.736,17.019,16.0722,8.9996,17.942857142857143,9.111799999999999,30.448,24.4796,13.171,12.533,22.155,10.609,7.919,11.141,13.2922,31.636546579172,17.469800000000003,25.615499999999997
